Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T05:47:44Z,0.02,0.02
2018-03-26T05:47:54Z,0.02,0.02
2018-03-26T05:48:04Z,0.02,0.04
2018-03-26T05:48:14Z,0.01,0.08
2018-03-26T05:48:24Z,0.02,0.03
2018-03-26T05:48:35Z,0.01,0.03
2018-03-26T05:48:45Z,0.02,0.03
2018-03-26T05:48:55Z,0.01,0.05
2018-03-26T05:49:05Z,0.01,0.04
2018-03-26T05:49:15Z,0.01,0.03
2018-03-26T05:49:25Z,0.04,0.04
2018-03-26T05:49:35Z,0.02,0.04
2018-03-26T05:49:45Z,0.01,0.03
2018-03-26T05:49:55Z,0.01,0.03
2018-03-26T05:50:05Z,0.01,0.03
2018-03-26T05:50:15Z,0.03,0.04
2018-03-26T05:50:25Z,0.01,0.02
2018-03-26T05:50:35Z,0.09,0.03
2018-03-26T05:50:46Z,0.01,0.04
2018-03-26T05:50:56Z,0.02,0.04
2018-03-26T05:51:06Z,0.01,0.03
2018-03-26T05:51:16Z,0.00,0.01
2018-03-26T05:51:26Z,0.01,0.02
2018-03-26T05:51:36Z,0.01,0.01
2018-03-26T05:51:46Z,0.01,0.02
2018-03-26T05:51:56Z,0.01,0.04
2018-03-26T05:52:06Z,0.01,0.01
2018-03-26T05:52:16Z,0.01,0.01
2018-03-26T05:52:26Z,0.02,0.02
2018-03-26T05:52:36Z,0.01,0.04
2018-03-26T05:52:46Z,0.01,0.03
2018-03-26T05:52:56Z,0.02,0.02
2018-03-26T05:53:06Z,0.03,0.06
2018-03-26T05:53:16Z,0.02,0.14
2018-03-26T05:53:27Z,0.01,0.02
2018-03-26T05:53:37Z,0.01,0.04
2018-03-26T05:53:47Z,0.02,0.04
2018-03-26T05:53:57Z,0.02,0.05
2018-03-26T05:54:07Z,0.01,0.03
2018-03-26T05:54:17Z,0.01,0.01
2018-03-26T05:54:27Z,0.01,0.01
2018-03-26T05:54:37Z,0.01,0.02
2018-03-26T05:54:47Z,0.01,0.02
2018-03-26T05:54:57Z,0.01,0.02
2018-03-26T05:55:07Z,0.01,0.04
2018-03-26T05:55:17Z,0.01,0.02
2018-03-26T05:55:27Z,0.01,0.02
2018-03-26T05:55:37Z,0.01,0.02
