Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T03:37:29Z,0.01,0.02
2018-03-26T03:37:39Z,0.01,0.04
2018-03-26T03:37:49Z,0.02,0.02
2018-03-26T03:37:59Z,0.01,0.03
2018-03-26T03:38:09Z,0.01,0.03
2018-03-26T03:38:19Z,0.02,5.53
2018-03-26T03:38:35Z,0.06,0.02
2018-03-26T03:38:45Z,0.01,0.02
2018-03-26T03:38:55Z,0.03,0.14
2018-03-26T03:39:05Z,0.02,0.02
2018-03-26T03:39:15Z,0.01,0.03
2018-03-26T03:39:25Z,0.01,0.01
2018-03-26T03:39:35Z,0.01,0.02
2018-03-26T03:39:46Z,0.02,0.02
2018-03-26T03:39:56Z,0.01,0.03
2018-03-26T03:40:06Z,0.02,0.06
2018-03-26T03:40:16Z,0.01,0.03
2018-03-26T03:40:26Z,0.02,0.03
2018-03-26T03:40:36Z,0.01,0.03
2018-03-26T03:40:46Z,0.01,5.53
2018-03-26T03:41:02Z,0.02,5.53
2018-03-26T03:41:17Z,0.01,5.53
2018-03-26T03:41:33Z,0.01,0.02
2018-03-26T03:41:43Z,0.01,0.26
2018-03-26T03:41:53Z,0.01,0.03
2018-03-26T03:42:03Z,0.02,0.27
2018-03-26T03:42:13Z,0.02,0.03
2018-03-26T03:42:23Z,0.01,0.03
2018-03-26T03:42:34Z,0.02,0.03
2018-03-26T03:42:44Z,0.02,0.03
2018-03-26T03:42:54Z,0.01,0.03
2018-03-26T03:43:04Z,0.01,0.02
2018-03-26T03:43:14Z,0.01,0.02
2018-03-26T03:43:24Z,0.01,0.03
2018-03-26T03:43:34Z,0.02,0.03
2018-03-26T03:43:44Z,0.02,0.03
2018-03-26T03:43:54Z,0.01,0.02
2018-03-26T03:44:04Z,0.01,0.02
2018-03-26T03:44:14Z,0.01,0.03
2018-03-26T03:44:24Z,0.01,0.26
2018-03-26T03:44:34Z,0.01,0.01
2018-03-26T03:44:45Z,0.01,0.02
2018-03-26T03:44:55Z,0.01,0.01
2018-03-26T03:45:05Z,0.01,0.04
2018-03-26T03:45:15Z,0.01,0.03
2018-03-26T03:45:25Z,0.01,0.03
2018-03-26T03:45:35Z,0.02,5.52
2018-03-26T03:45:50Z,0.01,0.03
2018-03-26T03:46:00Z,0.01,0.03
2018-03-26T03:46:11Z,0.01,0.04
2018-03-26T03:46:21Z,0.01,0.03
2018-03-26T03:46:31Z,0.01,0.02
2018-03-26T03:46:41Z,0.01,0.03
2018-03-26T03:46:51Z,0.01,0.01
2018-03-26T03:47:01Z,0.02,5.53
2018-03-26T03:47:16Z,0.01,0.02
2018-03-26T03:47:26Z,0.01,0.04
2018-03-26T03:47:37Z,0.01,0.02
2018-03-26T03:47:47Z,0.01,0.03
2018-03-26T03:47:57Z,0.01,0.03
2018-03-26T03:48:07Z,0.01,0.26
2018-03-26T03:48:17Z,0.02,0.27
2018-03-26T03:48:27Z,0.01,0.02
2018-03-26T03:48:37Z,0.02,0.03
2018-03-26T03:48:47Z,0.01,0.02
2018-03-26T03:48:57Z,0.01,0.02
2018-03-26T03:49:08Z,0.01,0.02
2018-03-26T03:49:18Z,0.01,0.02
2018-03-26T03:49:28Z,0.01,0.02
2018-03-26T03:49:38Z,0.02,0.03
2018-03-26T03:49:48Z,0.01,0.02
2018-03-26T03:49:58Z,0.01,0.03
2018-03-26T03:50:08Z,0.01,0.02
2018-03-26T03:50:18Z,0.03,5.53
2018-03-26T03:50:34Z,0.02,0.02
2018-03-26T03:50:44Z,0.01,0.03
2018-03-26T03:50:54Z,0.01,0.02
